2013 USAU Ohio Valley D-1 College Open Regionals,college-open,27,4,2013
Columbus,OH,2013-04-27,2013-04-28
https://scorereport.net/2013/college-open/event12675
Pittsburgh
b,r,e,a,k
Dayton
b,r,e,a,k
Ohio State
b,r,e,a,k
West Chester
b,r,e,a,k
Ohio
b,r,e,a,k
Case Western Reserve
b,r,e,a,k
Kenyon
b,r,e,a,k
Kent State
b,r,e,a,k
Carnegie-Mellon
b,r,e,a,k
St Joseph's
b,r,e,a,k
Cincinnati
b,r,e,a,k
Millersville
b,r,e,a,k
Penn State
b,r,e,a,k
Shippensburg
b,r,e,a,k
Pennsylvania
b,r,e,a,k
Wright State
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Pittsburgh,Dayton,13,7,"04/27/2013, 13:00",Pool A,final
Ohio State,West Chester,13,4,"04/27/2013, 13:00",Pool A,final
Pittsburgh,West Chester,13,6,"04/27/2013, 14:40",Pool A,final
Ohio State,Dayton,13,6,"04/27/2013, 14:40",Pool A,final
Pittsburgh,Ohio State,13,5,"04/27/2013, 16:20",Pool A,final
Dayton,West Chester,7,13,"04/27/2013, 16:20",Pool A,final
pool,Pool B
Ohio,Case Western Reserve,12,8,"04/27/2013, 13:00",Pool B,final
Kenyon,Kent State,13,9,"04/27/2013, 13:00",Pool B,final
Ohio,Kent State,13,6,"04/27/2013, 14:40",Pool B,final
Kenyon,Case Western Reserve,13,11,"04/27/2013, 14:40",Pool B,final
Ohio,Kenyon,10,8,"04/27/2013, 16:20",Pool B,final
Case Western Reserve,Kent State,W,L,"04/27/2013, 16:20",Pool B,final
pool,Pool C
Carnegie-Mellon,St Joseph's,13,8,"04/27/2013, 13:00",Pool C,final
Cincinnati,Millersville,11,9,"04/27/2013, 13:00",Pool C,final
Carnegie-Mellon,Millersville,13,7,"04/27/2013, 14:40",Pool C,final
Cincinnati,St Joseph's,13,3,"04/27/2013, 14:40",Pool C,final
Carnegie-Mellon,Cincinnati,11,12,"04/27/2013, 16:20",Pool C,final
St Joseph's,Millersville,12,10,"04/27/2013, 16:20",Pool C,final
pool,Pool D
Penn State,Shippensburg,13,8,"04/27/2013, 13:00",Pool D,final
Pennsylvania,Wright State,13,8,"04/27/2013, 13:00",Pool D,final
Penn State,Wright State,13,5,"04/27/2013, 14:40",Pool D,final
Pennsylvania,Shippensburg,13,5,"04/27/2013, 14:40",Pool D,final
Penn State,Pennsylvania,10,7,"04/27/2013, 16:20",Pool D,final
Shippensburg,Wright State,13,6,"04/27/2013, 16:20",Pool D,final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Pittsburgh,Penn State,15,9,"04/27/2013, 18:00",Championship,final
Ohio,Cincinnati,15,2,"04/27/2013, 18:00",Championship,final
Pittsburgh,Ohio,15,11,"04/28/2013, 14:00",Championship,final
bracket,2nd Place - Bid to College Championships
Carnegie-Mellon,Shippensburg,14,12,"04/27/2013, 18:00",2nd Place - Bid to College Championships,final
Kenyon,West Chester,13,9,"04/27/2013, 18:00",2nd Place - Bid to College Championships,final
Ohio State,Case Western Reserve,12,9,"04/27/2013, 18:00",2nd Place - Bid to College Championships,final
Pennsylvania,St Joseph's,15,9,"04/27/2013, 18:00",2nd Place - Bid to College Championships,final
Carnegie-Mellon,Kenyon,14,10,"04/28/2013, 10:00",2nd Place - Bid to College Championships,final
Ohio State,Pennsylvania,10,9,"04/28/2013, 10:00",2nd Place - Bid to College Championships,final
Cincinnati,Ohio State,13,9,"04/28/2013, 10:00",2nd Place - Bid to College Championships,final
Penn State,Carnegie-Mellon,14,12,"04/28/2013, 12:00",2nd Place - Bid to College Championships,final
Ohio,Penn State,15,F,"04/28/2013, 14:00",2nd Place - Bid to College Championships,final
Penn State,Cincinnati,14,12,"04/28/2013, 14:00",2nd Place - Bid to College Championships,final
bracket,7th
bracket,9th
bracket,11th
bracket,13th
bracket,15th
b,r,e,a,k
