2010 USA Ultimate Mid-Atlantic Club Open Regionals,open club,9,10,2010
Greenville,NC,2010-10-09,2010-10-10
https://scorereport.net/2010/open/event7487
Ring of Fire
b,r,e,a,k
Seamonkeys
b,r,e,a,k
Bear Proof
b,r,e,a,k
Dire Wolf
b,r,e,a,k
XRATES
b,r,e,a,k
Pittsburgh Iron Man Ultimate
b,r,e,a,k
Virginia Squires
b,r,e,a,k
Eastern Motors FB
b,r,e,a,k
Truck Stop
b,r,e,a,k
Southpaw
b,r,e,a,k
Queen City Thunder
b,r,e,a,k
Medicine Men
b,r,e,a,k
Town Hall Stars
b,r,e,a,k
LOS
b,r,e,a,k
Wendigo
b,r,e,a,k
F & Moose
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Ring of Fire,Seamonkeys,15,4,"10/09/2010, 09:00",Championship Bracket,final
Bear Proof,Dire Wolf,15,11,"10/09/2010, 09:00",Championship Bracket,final
XRATES,Pittsburgh Iron Man Ultimate,15,4,"10/09/2010, 09:00",Championship Bracket,final
Virginia Squires,Eastern Motors FB,15,13,"10/09/2010, 09:00",Championship Bracket,final
Southpaw,Queen City Thunder,15,5,"10/09/2010, 09:00",Championship Bracket,final
Medicine Men,Town Hall Stars,15,11,"10/09/2010, 09:00",Championship Bracket,final
LOS,Wendigo,12,10,"10/09/2010, 09:00",Championship Bracket,final
Truck Stop,F & Moose,15,5,"10/09/2010, 09:00",Championship Bracket,final
Ring of Fire,Bear Proof,15,6,"10/09/2010, 11:00",Championship Bracket,final
XRATES,Virginia Squires,14,11,"10/09/2010, 11:00",Championship Bracket,final
Southpaw,Medicine Men,15,9,"10/09/2010, 11:00",Championship Bracket,final
Truck Stop,LOS,15,4,"10/09/2010, 11:00",Championship Bracket,final
Ring of Fire,XRATES,15,8,"10/09/2010, 15:00",Championship Bracket,final
Truck Stop,Southpaw,14,12,"10/09/2010, 15:00",Championship Bracket,final
Truck Stop,Ring of Fire,14,12,"10/10/2010, 10:30",Championship Bracket,final
bracket,2nd Place Bracket
Dire Wolf,Seamonkeys,15,11,"10/09/2010, 11:00",2nd Place Bracket,final
Eastern Motors FB,Pittsburgh Iron Man Ultimate,15,7,"10/09/2010, 11:00",2nd Place Bracket,final
Town Hall Stars,Queen City Thunder,15,9,"10/09/2010, 11:00",2nd Place Bracket,final
F & Moose,Wendigo,15,12,"10/09/2010, 11:00",2nd Place Bracket,final
Dire Wolf,LOS,13,11,"10/09/2010, 13:00",2nd Place Bracket,final
Medicine Men,Eastern Motors FB,15,10,"10/09/2010, 13:00",2nd Place Bracket,final
Virginia Squires,Town Hall Stars,15,11,"10/09/2010, 13:00",2nd Place Bracket,final
Virginia Squires,F & Moose,15,7,"10/09/2010, 13:00",2nd Place Bracket,final
F & Moose,Bear Proof,15,12,"10/09/2010, 13:00",2nd Place Bracket,final
Medicine Men,Dire Wolf,14,12,"10/09/2010, 15:00",2nd Place Bracket,final
Southpaw,Virginia Squires,W,8,"10/09/2010, 15:00",2nd Place Bracket,final
Medicine Men,XRATES,16,F,"10/10/2010, 08:30",2nd Place Bracket,final
Southpaw,Medicine Men,15,9,"10/10/2010, 08:30",2nd Place Bracket,final
Southpaw,Ring of Fire,W,12,"10/10/2010, 10:30",2nd Place Bracket,final
bracket,13th Place
Seamonkeys,Pittsburgh Iron Man Ultimate,15,11,"10/09/2010, 13:00",13th Place,final
Wendigo,Queen City Thunder,15,13,"10/09/2010, 13:00",13th Place,final
Wendigo,Seamonkeys,15,11,"10/09/2010, 15:00",13th Place,final
bracket,15th Place
bracket,Tied 9th
Eastern Motors FB,LOS,11,7,"10/09/2010, 15:00",Tied 9th,final
bracket,Tied 9th
Bear Proof,Town Hall Stars,W,F,"10/09/2010, 15:00",Tied 9th,final
b,r,e,a,k
