2011 USA Ultimate Northwest Club Open Regionals,open club,1,10,2011
Burlington,WA,2011-10-01,2011-10-02
https://scorereport.net/2011/open/event9575
Revolver
b,r,e,a,k
Rhino
b,r,e,a,k
Boost Mobile
b,r,e,a,k
Dark Star
b,r,e,a,k
Downpour
b,r,e,a,k
Sockeye
b,r,e,a,k
Furious George
b,r,e,a,k
Voodoo
b,r,e,a,k
Wolves
b,r,e,a,k
South Portland Knife Fight
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Revolver,Rhino,13,5,"10/01/2011, 09:00",Pool A,final
Boost Mobile,Dark Star,13,9,"10/01/2011, 09:00",Pool A,final
Revolver,Dark Star,13,8,"10/01/2011, 10:45",Pool A,final
Rhino,Downpour,13,4,"10/01/2011, 10:45",Pool A,final
Revolver,Boost Mobile,13,3,"10/01/2011, 12:30",Pool A,final
Dark Star,Downpour,13,7,"10/01/2011, 12:30",Pool A,final
Rhino,Dark Star,13,6,"10/01/2011, 14:15",Pool A,final
Boost Mobile,Downpour,13,3,"10/01/2011, 14:15",Pool A,final
Rhino,Boost Mobile,13,8,"10/01/2011, 16:00",Pool A,final
Revolver,Downpour,13,1,"10/01/2011, 16:00",Pool A,final
pool,Pool B
Sockeye,Furious George,14,15,"10/01/2011, 09:00",Pool B,final
Voodoo,Wolves,13,11,"10/01/2011, 09:00",Pool B,final
Sockeye,Wolves,13,5,"10/01/2011, 10:45",Pool B,final
Furious George,South Portland Knife Fight,13,5,"10/01/2011, 10:45",Pool B,final
Sockeye,Voodoo,13,6,"10/01/2011, 12:30",Pool B,final
Wolves,South Portland Knife Fight,13,6,"10/01/2011, 12:30",Pool B,final
Furious George,Wolves,13,8,"10/01/2011, 14:15",Pool B,final
Voodoo,South Portland Knife Fight,13,6,"10/01/2011, 14:15",Pool B,final
Furious George,Voodoo,13,4,"10/01/2011, 16:00",Pool B,final
Sockeye,South Portland Knife Fight,13,1,"10/01/2011, 16:00",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Revolver,Sockeye,15,14,"10/02/2011, 09:00",Championship Bracket,final
Rhino,Furious George,15,9,"10/02/2011, 09:00",Championship Bracket,final
Revolver,Rhino,15,10,"10/02/2011, 13:30",Championship Bracket,final
bracket,2nd Place Bracket
Voodoo,Dark Star,15,5,"10/02/2011, 09:00",2nd Place Bracket,final
Wolves,Boost Mobile,15,13,"10/02/2011, 09:00",2nd Place Bracket,final
Furious George,Voodoo,15,7,"10/02/2011, 11:15",2nd Place Bracket,final
Sockeye,Wolves,W,L,"10/02/2011, 11:15",2nd Place Bracket,final
Furious George,Sockeye,15,13,"10/02/2011, 13:30",2nd Place Bracket,final
Furious George,Rhino,15,F,"10/02/2011, 15:45",2nd Place Bracket,final
bracket,5th Place Game
Wolves,Voodoo,10,9,"10/02/2011, 13:30",5th Place Game,final
bracket,7th Place
bracket,9th Place
South Portland Knife Fight,Downpour,15,8,"10/02/2011, 13:30",9th Place,final
b,r,e,a,k
