2010 UPA Central College Womens Regionals,college-womens,8,5,2010
Northfield,MN,2010-05-08,2010-05-09
https://scorereport.net/2010/college-womens/event6631
Wisconsin
b,r,e,a,k
Gustavus Adolphus
b,r,e,a,k
Minnesota
b,r,e,a,k
Marquette
b,r,e,a,k
Iowa State
b,r,e,a,k
Luther
b,r,e,a,k
Wisconsin-B
b,r,e,a,k
Minnesota-Duluth
b,r,e,a,k
Carleton College
b,r,e,a,k
Wisconsin-Eau Claire
b,r,e,a,k
Macalester
b,r,e,a,k
Iowa
b,r,e,a,k
Wisconsin-Milwaukee
b,r,e,a,k
St Olaf
b,r,e,a,k
Grinnell
b,r,e,a,k
Carleton College-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Wisconsin,Gustavus Adolphus,15,2,"05/08/2010, 08:00",Championship Bracket,final
Minnesota,Marquette,14,9,"05/08/2010, 08:00",Championship Bracket,final
Luther,Wisconsin-B,15,5,"05/08/2010, 08:00",Championship Bracket,final
Iowa State,Minnesota-Duluth,15,5,"05/08/2010, 08:00",Championship Bracket,final
Wisconsin-Eau Claire,Macalester,15,7,"05/08/2010, 08:00",Championship Bracket,final
Iowa,Wisconsin-Milwaukee,15,3,"05/08/2010, 08:00",Championship Bracket,final
St Olaf,Grinnell,15,6,"05/08/2010, 08:00",Championship Bracket,final
Carleton College,Carleton College-B,15,3,"05/08/2010, 08:00",Championship Bracket,final
Wisconsin,Minnesota,15,2,"05/08/2010, 10:00",Championship Bracket,final
Iowa State,Luther,14,12,"05/08/2010, 10:00",Championship Bracket,final
Wisconsin-Eau Claire,Iowa,10,7,"05/08/2010, 10:00",Championship Bracket,final
Carleton College,St Olaf,15,2,"05/08/2010, 10:00",Championship Bracket,final
Wisconsin,Iowa State,15,8,"05/08/2010, 14:00",Championship Bracket,final
Carleton College,Wisconsin-Eau Claire,12,10,"05/08/2010, 14:00",Championship Bracket,final
Wisconsin,Carleton College,15,9,"05/09/2010, 11:00",Championship Bracket,final
bracket,2nd Place Bracket
Marquette,Gustavus Adolphus,15,5,"05/08/2010, 10:00",2nd Place Bracket,final
Wisconsin-B,Minnesota-Duluth,14,7,"05/08/2010, 10:00",2nd Place Bracket,final
Macalester,Wisconsin-Milwaukee,13,8,"05/08/2010, 10:00",2nd Place Bracket,final
Grinnell,Carleton College-B,13,11,"05/08/2010, 10:00",2nd Place Bracket,final
Marquette,St Olaf,12,11,"05/08/2010, 14:00",2nd Place Bracket,final
Iowa,Wisconsin-B,15,7,"05/08/2010, 14:00",2nd Place Bracket,final
Luther,Minnesota,15,6,"05/08/2010, 14:00",2nd Place Bracket,final
Minnesota,Grinnell,W,L,"05/08/2010, 14:00",2nd Place Bracket,final
Iowa,Marquette,15,5,"05/08/2010, 16:00",2nd Place Bracket,final
Wisconsin-Eau Claire,Luther,W,5,"05/08/2010, 16:00",2nd Place Bracket,final
Iowa,Iowa State,13,F,"05/09/2010, 09:00",2nd Place Bracket,final
Wisconsin-Eau Claire,Iowa,14,10,"05/09/2010, 09:00",2nd Place Bracket,final
Carleton College,Wisconsin-Eau Claire,12,F,"05/09/2010, 13:30",2nd Place Bracket,final
bracket,13th/14th Bracket
Minnesota-Duluth,Gustavus Adolphus,14,3,"05/08/2010, 12:00",13th/14th Bracket,final
Wisconsin-Milwaukee,Carleton College-B,14,8,"05/08/2010, 14:00",13th/14th Bracket,final
Wisconsin-Milwaukee,Minnesota-Duluth,10,8,"05/08/2010, 16:00",13th/14th Bracket,final
bracket,15th 16th Bracket
Carleton College-B,Gustavus Adolphus,13,8,"05/08/2010, 16:00",15th 16th Bracket,final
bracket,9th/11th Bracket
St Olaf,Wisconsin-B,15,9,"05/08/2010, 16:00",9th/11th Bracket,final
bracket,9th/11th Bracket
Macalester,Grinnell,15,10,"05/08/2010, 16:00",9th/11th Bracket,final
b,r,e,a,k
