2011 USA Ultimate Mid-Atlantic Club Women's Regionals,womens club,1,10,2011
Kennett Square,PA,2011-10-01,2011-10-02
https://scorereport.net/2011/womens/event9656
Phoenix
b,r,e,a,k
Hot Metal
b,r,e,a,k
Ember
b,r,e,a,k
Lady Death Strike
b,r,e,a,k
Swarthmore Warmothers
b,r,e,a,k
Scandal
b,r,e,a,k
Sweet T
b,r,e,a,k
Green Means Go
b,r,e,a,k
Veto
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Phoenix,Hot Metal,11,2,"10/01/2011, 09:30",Pool A,final
Ember,Lady Death Strike,11,6,"10/01/2011, 09:30",Pool A,final
Phoenix,Lady Death Strike,11,1,"10/01/2011, 11:10",Pool A,final
Hot Metal,Swarthmore Warmothers,11,1,"10/01/2011, 11:10",Pool A,final
Phoenix,Ember,11,1,"10/01/2011, 12:50",Pool A,final
Lady Death Strike,Swarthmore Warmothers,7,8,"10/01/2011, 12:50",Pool A,final
Hot Metal,Lady Death Strike,11,0,"10/01/2011, 14:30",Pool A,final
Ember,Swarthmore Warmothers,11,1,"10/01/2011, 14:30",Pool A,final
Phoenix,Swarthmore Warmothers,11,0,"10/01/2011, 16:10",Pool A,final
Hot Metal,Ember,11,4,"10/01/2011, 16:10",Pool A,final
pool,Pool B
Scandal,Sweet T,15,4,"10/01/2011, 11:10",Pool B,final
Green Means Go,Veto,15,2,"10/01/2011, 11:10",Pool B,final
Scandal,Veto,15,1,"10/01/2011, 13:10",Pool B,final
Green Means Go,Sweet T,15,11,"10/01/2011, 13:10",Pool B,final
Scandal,Green Means Go,15,3,"10/01/2011, 15:10",Pool B,final
Sweet T,Veto,15,2,"10/01/2011, 15:10",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Phoenix,Green Means Go,15,5,"10/02/2011, 08:30",Championship Bracket,final
Scandal,Hot Metal,15,9,"10/02/2011, 08:30",Championship Bracket,final
Scandal,Phoenix,15,12,"10/02/2011, 12:30",Championship Bracket,final
bracket,2nd Place Bracket
Sweet T,Swarthmore Warmothers,15,4,"10/02/2011, 09:00",2nd Place Bracket,final
Ember,Veto,12,6,"10/02/2011, 09:00",2nd Place Bracket,final
Sweet T,Hot Metal,10,9,"10/02/2011, 10:30",2nd Place Bracket,final
Green Means Go,Ember,15,4,"10/02/2011, 10:30",2nd Place Bracket,final
Green Means Go,Sweet T,14,11,"10/02/2011, 12:30",2nd Place Bracket,final
Phoenix,Green Means Go,W,6,"10/02/2011, 14:30",2nd Place Bracket,final
bracket,5th Place Game
Lady Death Strike,Swarthmore Warmothers,13,8,"10/02/2011, 10:30",5th Place Game,final
bracket,Consolation Game
bracket,Consolation Game
b,r,e,a,k
