2010 USA Ultimate Mid-Atlantic Club Women's Regionals,womens club,9,10,2010
Greenville,NC,2010-10-09,2010-10-10
https://scorereport.net/2010/womens/event7480
Scandal
b,r,e,a,k
Hot Metal
b,r,e,a,k
13itchslap
b,r,e,a,k
Ember
b,r,e,a,k
Veto
b,r,e,a,k
Phoenix
b,r,e,a,k
Blue Route
b,r,e,a,k
Sweet T
b,r,e,a,k
CPF
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Scandal,Hot Metal,11,3,"10/09/2010, 09:30",Pool A,final
13itchslap,Ember,11,5,"10/09/2010, 09:30",Pool A,final
Scandal,Ember,11,0,"10/09/2010, 11:00",Pool A,final
Hot Metal,Veto,11,5,"10/09/2010, 11:00",Pool A,final
Scandal,13itchslap,11,3,"10/09/2010, 12:30",Pool A,final
Ember,Veto,10,11,"10/09/2010, 12:30",Pool A,final
Hot Metal,Ember,11,2,"10/09/2010, 14:00",Pool A,final
13itchslap,Veto,9,3,"10/09/2010, 14:00",Pool A,final
Scandal,Veto,11,1,"10/09/2010, 15:30",Pool A,final
Hot Metal,13itchslap,11,2,"10/09/2010, 15:30",Pool A,final
pool,Pool B
Phoenix,Blue Route,13,9,"10/09/2010, 11:00",Pool B,final
Sweet T,CPF,15,8,"10/09/2010, 11:00",Pool B,final
Phoenix,CPF,15,3,"10/09/2010, 13:00",Pool B,final
Sweet T,Blue Route,8,14,"10/09/2010, 13:00",Pool B,final
Phoenix,Sweet T,15,6,"10/09/2010, 15:00",Pool B,final
Blue Route,CPF,15,3,"10/09/2010, 15:00",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Scandal,Blue Route,14,9,"10/10/2010, 08:30",Championship Bracket,final
Phoenix,Hot Metal,15,10,"10/10/2010, 08:30",Championship Bracket,final
Scandal,Phoenix,14,13,"10/10/2010, 12:30",Championship Bracket,final
bracket,2nd Place Bracket
Sweet T,Veto,15,4,"10/10/2010, 08:30",2nd Place Bracket,final
13itchslap,CPF,14,12,"10/10/2010, 08:30",2nd Place Bracket,final
Sweet T,Hot Metal,15,13,"10/10/2010, 10:30",2nd Place Bracket,final
Blue Route,13itchslap,15,6,"10/10/2010, 10:30",2nd Place Bracket,final
Blue Route,Sweet T,14,9,"10/10/2010, 12:30",2nd Place Bracket,final
Phoenix,Blue Route,W,7,"10/10/2010, 14:30",2nd Place Bracket,final
bracket,Consolation Game
Veto,Ember,15,10,"10/10/2010, 10:30",Consolation Game,final
bracket,Consolation Game
bracket,5th Place Game
CPF,Ember,13,7,"10/10/2010, 12:30",5th Place Game,final
b,r,e,a,k
