Colorado Open Sectionals,college-open,12,4,2008
Lakewood,CO,2008-04-12,2008-04-13
https://scorereport.net/2008/college-open/event4480
Colorado
b,r,e,a,k
Colorado Mines
b,r,e,a,k
Air Force
b,r,e,a,k
Northern Colorado
b,r,e,a,k
Colorado State
b,r,e,a,k
Colorado-B
b,r,e,a,k
Colorado College
b,r,e,a,k
Denver
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Colorado,Colorado Mines,15,0,"04/12/2008, 09:00",Pool A,final
Air Force,Northern Colorado,15,4,"04/12/2008, 09:00",Pool A,final
Colorado,Northern Colorado,15,0,"04/12/2008, 11:15",Pool A,final
Air Force,Colorado Mines,1,0,"04/12/2008, 11:15",Pool A,final
Colorado,Air Force,15,0,"04/12/2008, 13:30",Pool A,final
Colorado Mines,Northern Colorado,15,4,"04/12/2008, 13:30",Pool A,final
pool,Pool B
Colorado State,Colorado-B,15,7,"04/12/2008, 09:00",Pool B,final
Colorado College,Denver,1,0,"04/12/2008, 09:00",Pool B,final
Colorado State,Denver,15,3,"04/12/2008, 11:15",Pool B,final
Colorado College,Colorado-B,15,11,"04/12/2008, 11:15",Pool B,final
Colorado State,Colorado College,15,8,"04/12/2008, 13:30",Pool B,final
Colorado-B,Denver,15,11,"04/12/2008, 13:30",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Game
Colorado,Colorado State,15,13,"04/12/2008, 11:30",Championship Game,final
bracket,2nd Place Bracket
Colorado State,Colorado College,15,10,"04/13/2008, 02:00",2nd Place Bracket,final
Colorado College,Air Force,15,12,"04/13/2008, 11:30",2nd Place Bracket,final
bracket,4th Place Bracket
Colorado Mines,Denver,15,5,"04/12/2008, 09:00",4th Place Bracket,final
Colorado-B,Northern Colorado,15,1,"04/12/2008, 09:00",4th Place Bracket,final
Colorado-B,Colorado Mines,15,13,"04/12/2008, 11:30",4th Place Bracket,final
bracket,4th Place Bracket
Colorado-B,Air Force,15,10,"04/13/2008, 02:00",4th Place Bracket,final
bracket,7th Place Game
Denver,Northern Colorado,1,0,"04/12/2008, 11:30",7th Place Game,final
bracket,Bracket
b,r,e,a,k
