USA Ultimate National Championships,Club - Men ,19,10,2017
Sarasota,FL,2017-10-19,2017-10-22
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2017/schedule/Men/Club-Men/
Revolver,1
teamInfo,,"San Francisco, California",http://www.revolverultimate.com/,https://www.facebook.com/RevolverUltimate,https://twitter.com/revolverult
coaches,Mike Payne,Devon Anderson
01,Simon Higgins
02,Kevin Cocks
03,George Stubbs
04,Joel Schlachet
07,Russell Wynne
08,Patrick Baylis
09,Cassidy Rasmussen
11,Zachary Travis
12,Sam Kanner
14,Kenneth Lim
15,Michael Spear
17,Sawyer Thompson
18,Gregory Cohen
22,Marcelo Sanchez-Heredia
23,Antoine Davis
24,Elijah Kerns
25,Nick Stuart
26,Grant Lindsley
27,Ashlin Joye
28,Nathan White
29,Christian Johnson
32,Jordan Marcy
35,Lucas Dallmann
50,Beau Kittredge
53,Eli Friedman
88,Byron Liu
93,Tom Doi
b,r,e,a,k
Doublewide,12
teamInfo,,"Austin, Texas",,https://www.facebook.com/DoublewideTX/,https://twitter.com/doublewidetx
coaches,Jose Cespedes,Steven Darroh
00,Brandon Malecek
01,Jason Holleran
02,Matthew Bennett
04,Jay Froude
05,Jeff Loskorn
06,Michael Matthis
07,Ben Lewis
08,Robert Coffin
10,Kaplan Maurer
11,Robert Lewis
12,Andrew Walch
13,Dalton Smith
14,Carter Hollo
15,"Sam ""Suds"" Ward"
17,Chris Larberg
18,Daniel Emmons
19,Ethan Pollack
20,Chase Cunningham
22,Zach Marbach
23,Gabriel Hernandez
24,Rory Orloff
25,Brendan Adams
31,Kai Marshall
40,Andrew Lord
83,Mitchell Bennett
b,r,e,a,k
HIGH FIVE,8
teamInfo,,"Ohio, Michigan",,https://www.facebook.com/HighFiveUlti/,https://twitter.com/HighFiveUlti
00,Jordan O'Neill
01,Alex Edinger
02,Tyler Kinley
03,Jeffrey Brauning
04,Eric Schumacher
06,Kevin Coulter
08,Dan Donovan
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
16,Michael Burke
17,Keegan North
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Alex Kapiamba
25,Jake Steslicki
27,Alexander Russomanno
41,Daniel Lee
42,Mike Ogren
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
71,Jacob Turner
77,James Highsmith
91,Joe White
b,r,e,a,k
Sub Zero,13
